,uf,valor_face,valor_aquisicao,valor_medio_face,valor_medio_aquisicao,n_creditos,valor_face_max,valor_face_min,valor_aquisicao_max,valor_aquisicao_min
0,GO,24633137.84,1068260.9376940965,464776.1856603774,20155.866748945216,53,902886.86,917.15,102608.45380302936,14.776526769385072
1,MS,21848314.74,901185.3002964334,508100.34279069764,20957.797681312404,43,1200049.98,69118.11,105026.8885167523,625.7126063293634
2,MT,24741461.04,1190594.6572493901,466820.0196226415,22464.050136780945,53,905163.29,63672.51,122916.27541938568,623.4524936582259
3,PR,23400130.11,1057477.5185613346,487502.710625,22030.78163669447,48,1127817.3,70589.67,196138.6545342668,270.38691071104427
4,RS,27189594.72,1119248.5992981666,554889.6881632652,22841.808148942175,49,1221803.29,25797.79,132323.8504939387,514.1801894097601
5,SP,26474284.69,1135602.8402145247,499514.8054716981,21426.46868329292,53,940205.99,28482.22,137780.95084712034,122.1341531812288
